id,name,year,users_rated,avg_rating,geek_rating,weight,owned,fans,views,plays,plays_month,min_players,max_players,min_players_recomended,max_players_recomended,min_players_best,max_players_best,min_playtime,max_playtime,awards,expansions,min_age,link,description,price_euro
224517,Brass: Birmingham,2018,41813,8.60725,8.42183,3.891,57802,4196,3836310,109572,1408,2,4,2,4,3,4,60,120,20,0,14,/boardgame/224517/brass-birmingham,"Build networks, grow industries, and navigate the world of the Industrial Revolution.",91.63
161936,Pandemic Legacy: Season 1,2015,51888,8.53252,8.38653,2.8333,80463,3567,4042157,277080,1011,2,4,2,4,4,4,60,60,30,0,13,/boardgame/161936/pandemic-legacy-season-1,Mutating diseases are spreading around the world - can your team save humanity?,60.89
174430,Gloomhaven,2017,60179,8.60779,8.37347,3.8993,93956,9588,12637821,494649,1991,1,4,1,4,3,3,60,120,30,17,14,/boardgame/174430/gloomhaven,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,
342942,Ark Nova,2021,36732,8.5334,8.3192,3.7353,53762,4181,3992083,236073,12711,1,4,1,3,2,2,90,150,28,2,14,/boardgame/342942/ark-nova,"Plan and build a modern, scientifically managed zoo to support conservation projects.",47.49
233078,Twilight Imperium: Fourth Edition,2017,22065,8.61019,8.24061,4.31,27153,2697,3471916,37020,554,3,6,3,6,6,6,240,480,2,4,14,/boardgame/233078/twilight-imperium-fourth-edition,"Build an intergalactic empire through trade, research, conquest and grand politics.",208.0
167791,Terraforming Mars,2016,93846,8.36745,8.22246,3.2591,129915,9232,8206322,576488,4200,1,5,1,4,3,3,120,120,40,39,12,/boardgame/167791/terraforming-mars,Compete with rival CEOs to make Mars habitable and build your corporate empire.,
316554,Dune: Imperium,2020,39382,8.42325,8.20564,3.0334,55304,4162,3931738,133580,3650,1,4,1,4,3,4,60,120,26,8,14,/boardgame/316554/dune-imperium,"Influence, intrigue, and combat in the universe of Dune.",
291457,Gloomhaven: Jaws of the Lion,2020,31446,8.47288,8.19021,3.6331,69206,3120,2559319,154225,1496,1,4,1,4,2,2,30,120,20,4,14,/boardgame/291457/gloomhaven-jaws-lion,Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign.,46.99
115746,War of the Ring: Second Edition,2011,20070,8.53405,8.17901,4.2117,33109,2556,3677924,32595,327,2,4,2,2,2,2,150,180,0,7,13,/boardgame/115746/war-ring-second-edition,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-Earth.,220.0
187645,Star Wars: Rebellion,2016,31027,8.41922,8.16951,3.7451,48305,3096,4303196,47476,255,2,4,2,2,2,2,180,240,17,1,14,/boardgame/187645/star-wars-rebellion,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,108.33
162886,Spirit Island,2017,47361,8.3508,8.14974,4.0628,70907,5371,5671861,271960,4038,1,4,1,4,2,2,90,120,16,18,13,/boardgame/162886/spirit-island,Island Spirits join forces using elemental powers to defend their home from invaders.,89.95
