id,subdomain
1,Strategy Games
3,Strategy Games
5,Strategy Games
7,Abstract Games
10,Family Games
11,Family Games
12,Strategy Games
13,Strategy Games
13,Family Games
15,Strategy Games
15,Thematic Games
16,Strategy Games
18,Thematic Games
18,Strategy Games
22,Strategy Games
22,Thematic Games
32,Abstract Games
41,Family Games
42,Strategy Games
44,Family Games
46,Strategy Games
47,Family Games
47,Strategy Games
49,Family Games
50,Family Games
51,Abstract Games
54,Strategy Games
66,Strategy Games
70,Family Games
70,Strategy Games
71,Strategy Games
73,Family Games
73,Strategy Games
74,Party Games
84,Wargames
88,Abstract Games
88,Strategy Games
91,Wargames
93,Strategy Games
94,Strategy Games
98,Wargames
102,Strategy Games
102,Family Games
103,Wargames
103,Thematic Games
105,Family Games
105,Strategy Games
106,Family Games
106,Strategy Games
110,Family Games
111,Strategy Games
112,Strategy Games
113,Strategy Games
115,Family Games
115,Strategy Games
116,Family Games
117,Abstract Games
118,Strategy Games
119,Strategy Games
119,Abstract Games
120,Family Games
121,Strategy Games
121,Thematic Games
122,Strategy Games
124,Strategy Games
125,Family Games
128,Abstract Games
128,Family Games
130,Strategy Games
132,Strategy Games
137,Party Games
150,Party Games
150,Family Games
151,Family Games
152,Strategy Games
153,Family Games
155,Family Games
155,Strategy Games
157,Strategy Games
163,Party Games
168,Strategy Games
170,Family Games
170,Thematic Games
172,Family Games
173,Thematic Games
175,Family Games
181,Wargames
181,Family Games
185,Family Games
192,Family Games
193,Family Games
199,Family Games
201,Abstract Games
204,Strategy Games
206,Unknown
214,Family Games
215,Strategy Games
217,Family Games
220,Family Games
222,Family Games
223,Family Games
224,Strategy Games
224,Thematic Games
224,Wargames
230,Strategy Games
234,Wargames
240,Wargames
242,Thematic Games
242,Strategy Games
243,Wargames
249,Strategy Games
249,Family Games
257,Family Games
258,Party Games
258,Family Games
268,Family Games
278,Strategy Games
287,Abstract Games
287,Family Games
299,Wargames
300,Family Games
313,Strategy Games
320,Family Games
321,Family Games
321,Children's Games
327,Children's Games
333,Family Games
337,Family Games
338,Strategy Games
338,Family Games
339,Family Games
340,Family Games
344,Family Games
352,Family Games
354,Strategy Games
357,Family Games
361,Family Games
364,Strategy Games
366,Family Games
371,Family Games
372,Family Games
382,Family Games
384,Thematic Games
384,Family Games
394,Abstract Games
398,Family Games
403,Family Games
404,Family Games
404,Children's Games
408,Abstract Games
408,Strategy Games
421,Strategy Games
423,Strategy Games
424,Strategy Games
431,Family Games
432,Family Games
436,Family Games
437,Family Games
438,Family Games
442,Family Games
442,Strategy Games
443,Family Games
443,Abstract Games
444,Family Games
444,Children's Games
463,Customizable Games
464,Abstract Games
464,Family Games
466,Family Games
472,Thematic Games
475,Strategy Games
478,Strategy Games
478,Family Games
481,Strategy Games
483,Wargames
483,Strategy Games
491,Family Games
491,Strategy Games
492,Family Games
492,Strategy Games
494,Family Games
503,Abstract Games
503,Strategy Games
526,Abstract Games
527,Abstract Games
528,Abstract Games
531,Strategy Games
533,Family Games
533,Children's Games
551,Wargames
552,Strategy Games
553,Thematic Games
553,Party Games
554,Strategy Games
555,Strategy Games
559,Family Games
559,Strategy Games
568,Family Games
586,Wargames
590,Family Games
592,Family Games
594,Strategy Games
602,Unknown
614,Family Games
619,Strategy Games
619,Family Games
621,Party Games
624,Abstract Games
632,Family Games
634,Family Games
635,Family Games
638,Strategy Games
651,Family Games
681,Abstract Games
699,Thematic Games
700,Wargames
706,Wargames
712,Thematic Games
712,Strategy Games
713,Thematic Games
715,Thematic Games
736,Unknown
756,Strategy Games
760,Strategy Games
764,Party Games
770,Family Games
789,Abstract Games
804,Thematic Games
811,Family Games
814,Family Games
815,Thematic Games
815,Family Games
816,Strategy Games
822,Family Games
823,Thematic Games
826,Family Games
833,Wargames
834,Party Games
855,Strategy Games
869,Family Games
875,Strategy Games
878,Family Games
883,Family Games
891,Party Games
903,Family Games
904,Strategy Games
904,Family Games
908,Family Games
915,Family Games
917,Family Games
925,Party Games
929,Party Games
938,Children's Games
939,Thematic Games
943,Family Games
980,Family Games
986,Strategy Games
1032,Wargames
1036,Strategy Games
1038,Abstract Games
1041,Strategy Games
1042,Family Games
1044,Thematic Games
1044,Wargames
1070,Family Games
1070,Children's Games
1099,Family Games
1099,Children's Games
1107,Strategy Games
1111,Party Games
1117,Family Games
1120,Unknown
1125,Strategy Games
1125,Family Games
1150,Family Games
1163,Family Games
1190,Abstract Games
1197,Family Games
1198,Abstract Games
1198,Family Games
1218,Children's Games
1219,Family Games
1231,Party Games
1231,Family Games
1234,Party Games
1234,Thematic Games
1245,Abstract Games
1258,Family Games
1261,Abstract Games
1261,Strategy Games
1269,Family Games
1270,Customizable Games
1271,Unknown
1275,Family Games
1275,Thematic Games
1293,Family Games
1294,Family Games
1295,Abstract Games
1317,Unknown
1333,Family Games
1334,Strategy Games
1334,Family Games
1339,Family Games
1339,Thematic Games
1345,Strategy Games
1353,Party Games
1381,Family Games
1382,Family Games
1383,Family Games
1403,Family Games
1406,Family Games
1410,Children's Games
1412,Family Games
1419,Abstract Games
1430,Wargames
1439,Children's Games
1447,Strategy Games
1452,Abstract Games
1452,Family Games
1459,Family Games
1465,Family Games
1472,Family Games
1475,Family Games
1499,Wargames
1502,Family Games
1506,Wargames
1506,Strategy Games
1515,Family Games
1540,Thematic Games
1540,Wargames
1544,Party Games
1561,Family Games
1597,Strategy Games
1597,Family Games
1608,Wargames
1613,Children's Games
1690,Family Games
1692,Party Games
1744,Children's Games
1751,Children's Games
1751,Family Games
1768,Children's Games
1797,Family Games
1799,Customizable Games
1822,Wargames
1897,Strategy Games
1897,Family Games
1899,Children's Games
1899,Family Games
1915,Customizable Games
1917,Family Games
1917,Abstract Games
1927,Party Games
1927,Thematic Games
1933,Family Games
1933,Children's Games
1942,Family Games
1942,Strategy Games
1950,Children's Games
1950,Family Games
1961,Family Games
1986,Family Games
2001,Family Games
2079,Wargames
2087,Family Games
2114,Children's Games
2114,Family Games
2122,Customizable Games
2165,Customizable Games
2223,Family Games
2240,Unknown
2243,Family Games
2251,Strategy Games
2251,Thematic Games
2266,Abstract Games
2272,Family Games
2281,Party Games
2290,Abstract Games
2290,Family Games
2322,Family Games
2338,Strategy Games
2346,Abstract Games
2371,Family Games
2375,Family Games
2379,Party Games
2381,Party Games
2392,Abstract Games
2452,Party Games
2453,Abstract Games
2464,Wargames
2471,Thematic Games
2507,Strategy Games
2511,Thematic Games
2536,Family Games
2541,Family Games
2569,Family Games
2578,Family Games
2582,Party Games
2593,Party Games
2593,Family Games
2596,Family Games
2604,Party Games
2629,Children's Games
2633,Family Games
2651,Strategy Games
2652,Party Games
2653,Family Games
2655,Abstract Games
2679,Children's Games
2719,Abstract Games
2719,Children's Games
2728,Abstract Games
2767,Children's Games
2770,Abstract Games
2770,Family Games
2792,Children's Games
2794,Family Games
2808,Wargames
2818,Family Games
2842,Family Games
2843,Unknown
2884,Abstract Games
2911,Abstract Games
2921,Family Games
2922,Party Games
2944,Party Games
2944,Children's Games
2952,Family Games
2952,Party Games
2955,Strategy Games
2965,Abstract Games
2978,Abstract Games
2987,Family Games
3076,Strategy Games
3084,Family Games
3085,Family Games
3093,Children's Games
3093,Family Games
3097,Strategy Games
3141,Family Games
3181,Family Games
3190,Abstract Games
3201,Strategy Games
3228,Abstract Games
3242,Family Games
3243,Family Games
3284,Thematic Games
3318,Family Games
3319,Abstract Games
3337,Family Games
3337,Party Games
3347,Family Games
3377,Party Games
3383,Children's Games
3383,Family Games
3406,Abstract Games
3421,Family Games
3422,Family Games
3439,Customizable Games
3522,Party Games
3522,Children's Games
3534,Strategy Games
3565,Thematic Games
3565,Wargames
3570,Children's Games
3586,Children's Games
3586,Family Games
3597,Thematic Games
3632,Family Games
3685,Wargames
3699,Family Games
3706,Abstract Games
3706,Family Games
3711,Wargames
3720,Family Games
3720,Thematic Games
3728,Children's Games
3737,Children's Games
3804,Children's Games
3818,Party Games
3837,Children's Games
3837,Family Games
3845,Children's Games
3874,Abstract Games
3889,Children's Games
3934,Children's Games
3934,Family Games
3945,Children's Games
3945,Family Games
3955,Party Games
3986,Wargames
4008,Wargames
4040,Abstract Games
4095,Thematic Games
4098,Strategy Games
4112,Abstract Games
4123,Unknown
4143,Children's Games
4154,Customizable Games
4174,Party Games
4209,Children's Games
4282,Party Games
4376,Unknown
4390,Family Games
4396,Strategy Games
4396,Family Games
4491,Strategy Games
4491,Thematic Games
4493,Children's Games
4519,Unknown
4610,Strategy Games
4610,Family Games
4636,Abstract Games
4637,Children's Games
4642,Unknown
4643,Abstract Games
4688,Wargames
4694,Unknown
4853,Family Games
4862,Party Games
4888,Children's Games
4907,Family Games
4907,Children's Games
4953,Family Games
5048,Children's Games
5130,Family Games
5130,Children's Games
5157,Abstract Games
5241,Wargames
5243,Abstract Games
5259,Children's Games
5259,Family Games
5306,Thematic Games
5306,Family Games
5339,Children's Games
5354,Children's Games
5393,Party Games
5404,Strategy Games
5406,Strategy Games
5419,Strategy Games
5585,Family Games
5588,Children's Games
5716,Family Games
5737,Strategy Games
