id,categories
1,Economic
1,Negotiation
1,Political
3,Abstract Strategy
3,Medieval
5,Economic
5,Territory Building
7,Abstract Strategy
7,Children's Game
7,City Building
7,Territory Building
10,Travel
10,Fantasy
11,Card Game
11,Negotiation
11,Farming
12,Ancient
12,Mythology
13,Economic
13,Negotiation
15,Bluffing
15,Negotiation
15,Science Fiction
16,Economic
18,Maze
18,Science Fiction
18,Racing
18,Miniatures
22,Exploration
22,Fighting
22,Fantasy
22,Adventure
32,Abstract Strategy
32,American West
32,Children's Game
41,Racing
41,Dice
42,Civilization
42,Ancient
42,Abstract Strategy
42,Territory Building
44,Card Game
46,Renaissance
47,Negotiation
47,City Building
47,Economic
49,Memory
49,Card Game
50,Math
50,Card Game
50,Exploration
51,Maze
51,Puzzle
51,Abstract Strategy
51,Real-time
54,Exploration
54,Territory Building
66,Political
66,Medieval
70,City Building
71,Negotiation
71,Economic
71,Civilization
71,Ancient
73,Card Game
74,Party Game
74,Card Game
74,Humor
84,World War II
84,Wargame
88,Medieval
88,Abstract Strategy
91,Wargame
91,World War I
93,Renaissance
93,Medieval
94,Economic
94,Trains
98,World War II
98,Economic
98,Wargame
102,Card Game
103,Wargame
103,Fantasy
105,Mythology
105,Card Game
105,Fantasy
106,Murder/Mystery
106,Card Game
110,Economic
110,Movies / TV / Radio theme
110,Transportation
111,Medieval
111,Abstract Strategy
111,Territory Building
112,Medieval
112,Negotiation
112,Card Game
112,Bluffing
113,Card Game
115,Negotiation
115,Economic
116,Card Game
116,Humor
117,Abstract Strategy
118,Economic
118,Card Game
119,Abstract Strategy
119,Medieval
119,Fantasy
120,Bluffing
121,Science Fiction
121,Political
121,Novel-based
121,Negotiation
121,Fighting
121,Bluffing
122,Ancient
122,Negotiation
122,Political
124,Prehistoric
125,Card Game
128,Puzzle
128,Abstract Strategy
130,Fantasy
130,Trains
130,Transportation
132,Ancient
132,Bluffing
132,Card Game
137,Word Game
137,Real-time
137,Party Game
137,Electronic
150,Children's Game
150,Sports
150,Racing
150,Party Game
150,Action / Dexterity
151,Pirates
151,Action / Dexterity
152,Game System
152,Card Game
153,Card Game
153,Number
155,Deduction
155,Card Game
157,Trains
157,Economic
157,Transportation
163,Party Game
163,Word Game
163,Bluffing
168,Transportation
168,Economic
168,Trains
170,Mafia
170,Card Game
172,Card Game
172,Economic
173,Racing
173,Sports
175,Bluffing
175,Animals
175,Card Game
181,Territory Building
181,Wargame
185,Abstract Strategy
185,Dice
185,Print & Play
192,Card Game
193,Dice
199,City Building
201,Abstract Strategy
201,Medieval
204,Transportation
204,Trains
206,Card Game
214,Abstract Strategy
215,Card Game
217,Action / Dexterity
220,Card Game
222,Science Fiction
222,Card Game
223,Exploration
223,Travel
223,Transportation
224,Renaissance
224,Napoleonic
224,Medieval
224,Ancient
224,Civilization
224,Post-Napoleonic
230,Transportation
230,Space Exploration
230,Science Fiction
230,Exploration
230,Economic
234,Political
234,Wargame
234,Ancient
240,Medieval
240,Wargame
240,Civilization
240,Ancient
242,Wargame
242,Political
242,Negotiation
242,Mafia
242,Humor
242,Bluffing
243,Wargame
243,World War II
249,Negotiation
249,Party Game
249,Nautical
257,Humor
257,Murder/Mystery
258,Card Game
268,Ancient
278,City Building
278,Territory Building
278,Card Game
287,Abstract Strategy
287,Puzzle
287,Math
299,Book
299,Wargame
299,Medieval
299,Miniatures
299,Ancient
300,Abstract Strategy
300,Ancient
313,Industry / Manufacturing
313,Economic
320,Word Game
321,Children's Game
327,Aviation / Flight
327,Electronic
327,Action / Dexterity
327,Movies / TV / Radio theme
327,Animals
327,Children's Game
333,Card Game
337,Animals
337,Card Game
338,Card Game
339,Word Game
339,Card Game
340,Animals
340,Card Game
344,Card Game
352,Card Game
354,Card Game
357,Dice
361,Racing
361,Animals
364,Economic
366,Racing
371,Card Game
371,Murder/Mystery
372,Card Game
382,Bluffing
382,Spies/Secret Agents
384,Animals
384,Sports
