id,mechanics
1,Hand Management
1,Alliances
1,Area Majority / Influence
1,Auction/Bidding
1,Dice Rolling
1,Simultaneous Action Selection
3,Hand Management
3,Area Majority / Influence
3,Hexagon Grid
3,Tile Placement
3,Set Collection
3,Once-Per-Game Abilities
5,Market
5,Square Grid
5,Stock Holding
5,Tile Placement
5,Hand Management
5,Investment
7,Tile Placement
7,Square Grid
7,Enclosure
7,Pattern Recognition
7,Pattern Building
10,Network and Route Building
10,Open Drafting
10,Point to Point Movement
10,Hand Management
11,Negotiation
11,Set Collection
11,Trading
11,Hand Management
12,Auction/Bidding
12,Push Your Luck
12,Hidden Victory Points
12,Constrained Bidding
12,Closed Economy Auction
12,Auction: Once Around
13,Dice Rolling
13,Chaining
13,Income
13,Modular Board
13,Negotiation
13,Hexagon Grid
15,Alliances
15,Hand Management
15,Variable Player Powers
15,Negotiation
16,Auction/Bidding
18,Programmed Movement
18,Modular Board
18,Lose a Turn
18,Grid Movement
18,Bias
18,Action Queue
22,Events
22,Player Elimination
22,Paper-and-Pencil
22,Dice Rolling
22,Action Queue
22,Modular Board
32,Grid Movement
41,Push Your Luck
41,Dice Rolling
41,Race
42,Income
42,Highest-Lowest Scoring
42,Hand Management
42,Connections
42,Area Majority / Influence
42,Hidden Victory Points
44,Trick-taking
46,Auction: Once Around
46,Auction/Bidding
46,Income
46,Push Your Luck
46,Victory Points as a Resource
46,Set Collection
47,Tile Placement
47,Set Collection
47,Enclosure
47,Income
47,Investment
47,Negotiation
49,Hand Management
49,Memory
50,Push Your Luck
50,Ordering
50,Melding and Splaying
50,Hand Management
50,Score-and-Reset Game
50,Set Collection
51,Modular Board
51,Grid Movement
51,Real-Time
51,Variable Set-up
51,Turn Order: Stat-Based
51,Square Grid
54,Auction/Bidding
54,Layering
54,Hexagon Grid
54,Grid Movement
54,Area Majority / Influence
54,Action Points
66,Negotiation
66,Square Grid
66,Modular Board
66,Enclosure
66,Area Majority / Influence
66,Auction/Bidding
70,Modular Board
70,Tile Placement
70,Hand Management
71,Tech Trees / Tech Tracks
71,Trading
71,Hand Management
71,Area Movement
71,Area Majority / Influence
71,Set Collection
73,Open Drafting
73,Auction: Dutch
73,Set Collection
74,Simultaneous Action Selection
74,Player Judge
74,Hand Management
84,Secret Unit Deployment
84,Hexagon Grid
84,Dice Rolling
84,Simulation
88,Action Points
88,Grid Movement
88,Square Grid
88,Enclosure
88,Area Majority / Influence
88,Hand Management
91,Campaign / Battle Card Driven
91,Dice Rolling
91,Point to Point Movement
93,Area Majority / Influence
93,Action Drafting
93,Area Movement
93,Auction/Bidding
93,Hand Management
93,Memory
94,Network and Route Building
94,Open Drafting
94,Stock Holding
98,Stat Check Resolution
98,Team-Based Game
98,Minimap Resolution
98,Dice Rolling
98,Area Movement
102,Set Collection
103,Set Collection
103,Secret Unit Deployment
103,Roll / Spin and Move
103,Player Elimination
103,Minimap Resolution
103,Dice Rolling
105,Investment
105,Betting and Bluffing
105,Hand Management
106,Hand Management
106,Set Collection
106,Voting
110,Roll / Spin and Move
110,Pick-up and Deliver
110,Auction/Bidding
111,Hand Management
111,Enclosure
111,Area Majority / Influence
112,Area Majority / Influence
112,Auction/Bidding
112,Hand Management
112,Constrained Bidding
113,Trick-taking
115,Negotiation
115,Take That
115,Hand Management
115,Dice Rolling
115,Set Collection
115,Roll / Spin and Move
116,Take That
116,Set Collection
116,Open Drafting
116,Hand Management
117,Team-Based Game
117,Tile Placement
117,Connections
118,Commodity Speculation
118,Auction: English
118,Auction/Bidding
118,Auction: Once Around
118,Auction: Sealed Bid
118,Auction: Turn Order Until Pass
119,Tile Placement
120,Set Collection
120,Rock-Paper-Scissors
120,Simultaneous Action Selection
121,Hand Management
121,Force Commitment
121,Alliances
121,Area Majority / Influence
121,Auction/Bidding
121,Area Movement
122,Voting
122,Trading
122,Point to Point Movement
122,Negotiation
124,Bias
124,Dice Rolling
124,Variable Player Powers
124,Grid Movement
125,Auction/Bidding
125,Simultaneous Action Selection
125,Set Collection
128,Tile Placement
128,Bingo
128,Pattern Building
130,Crayon Rail System
130,Pick-up and Deliver
130,Multiple Maps
130,Hexagon Grid
130,Network and Route Building
132,Set Collection
132,Hand Management
132,Area Majority / Influence
137,Dice Rolling
137,Hot Potato
150,Flicking
150,Race
150,Modular Board
151,Unknown
152,Trick-taking
152,Team-Based Game
152,Bids As Wagers
153,Hand Management
155,Trick-taking
155,Open Drafting
157,Connections
157,Pick-up and Deliver
157,Crayon Rail System
157,Hexagon Grid
157,Network and Route Building
163,Paper-and-Pencil
163,Voting
168,Connections
168,Crayon Rail System
168,Hexagon Grid
168,Movement Points
168,Network and Route Building
168,Pick-up and Deliver
170,Hand Management
170,Take That
170,Player Elimination
172,Auction: Turn Order Until Pass
172,Selection Order Bid
172,Hand Management
172,Auction/Bidding
172,Auction: Sealed Bid
173,Race
173,Grid Movement
173,Different Dice Movement
173,Player Elimination
173,Push Your Luck
173,Roll / Spin and Move
175,Auction: Sealed Bid
175,Simultaneous Action Selection
181,Area Movement
181,Dice Rolling
181,Player Elimination
181,Set Collection
185,Race
185,Take That
185,Grid Movement
185,Roll / Spin and Move
192,Trading
192,Simultaneous Action Selection
193,Push Your Luck
193,Dice Rolling
199,Hand Management
199,Area Majority / Influence
201,Area Majority / Influence
201,Grid Movement
201,Square Grid
201,Move Through Deck
201,Pattern Building
201,Hand Management
204,Grid Movement
204,Hexagon Grid
204,End Game Bonuses
204,Chaining
204,Auction: Once Around
204,Area Majority / Influence
206,Trick-taking
214,Tile Placement
214,Hand Management
214,Pattern Building
215,Team-Based Game
215,Predictive Bid
215,Ladder Climbing
215,Hand Management
217,Set Collection
217,Action Points
217,Dice Rolling
220,Hand Management
220,Auction/Bidding
220,Auction: Turn Order Until Pass
220,Constrained Bidding
222,Set Collection
222,Open Drafting
223,Point to Point Movement
223,Network and Route Building
224,Dice Rolling
224,Hand Management
224,Area Majority / Influence
230,Dice Rolling
230,Movement Points
