index,launch_datetime,rocket,rocket_state,flight_number,launch_site,launch_site_state,lsp,lsp_state,payload,payload_state,payload_perator,payload_orbit,payload_function,payload_decay,payload_outcome,year,table_n,flight_n
0,1952-01-30 20:45:00,Aerobee RTV-A-1a,United States,USAF 21,Holloman LC-A,United States,US Air Force,United States,Ionosphere 1,,AFCRC / University of Utah,Suborbital,Ionospheric,30 January,Launch failure,1952,1,1
0,1952-02-19 14:49:00,Aerobee RTV-A-1c,United States,USAF 22,Holloman LC-A,United States,US Air Force,United States,,,AFCRC / University of Utah,Suborbital,Airglow,19 February,Launch failure,1952,2,2
4,1952-02-19 17:00:00,Aerobee RTV-N-10,United States,NRL 7,White Sands LC-35,United States,US Navy,United States,,,NRL,Suborbital,Cosmic Radiation / Solar Radiation,19 February,Successful,1952,2,3
8,1952-02-29 14:40:00,Aerobee RTV-A-1,United States,USAF 23,Holloman LC-A,United States,US Air Force,United States,,,AFCRC / University of Utah,Suborbital,Airglow,29 February,Successful,1952,2,4
0,1952-04-22 17:28:00,Aerobee RTV-A-1,United States,USAF 24,Holloman LC-A,United States,US Air Force,United States,,,AFCRC / Boston University,Suborbital,Ionospheric,22 April,Successful,1952,3,5
4,1952-04-30 13:30:00,Aerobee RTV-N-10,United States,NRL 8,White Sands LC-35,United States,US Navy,United States,,,NRL,Suborbital,Cosmic Radiation / Solar Radiation,30 April,Successful,1952,3,6
0,1952-05-01 14:59:00,Aerobee RTV-N-10,United States,NRL 9,White Sands LC-35,United States,US Navy,United States,,,NRL,Suborbital,Cosmic Radiation / Solar Radiation,1 May,Successful,1952,4,7
4,1952-05-01 15:42:00,Aerobee RTV-A-1,United States,USAF 25,Holloman LC-A,United States,US Air Force,United States,,,AFCRC / University of Rhode Island,Suborbital,Solar UV,1 May,Successful,1952,4,8
8,1952-05-05 13:44:00,Aerobee RTV-N-10,United States,NRL 10,White Sands LC-35,United States,US Navy,United States,,,NRL,Suborbital,Cosmic Radiation / Solar Radiation,5 May,Successful,1952,4,9
12,1952-05-15 01:15:00,Aerobee XASR-SC-1,United States,SC 23,White Sands LC-35,United States,US Army,United States,Sphere,United States,SCEL / University of Michigan,Suborbital,Aeronomy,15 May,Successful,1952,4,10
16,1952-05-20 02:07:00,Aerobee XASR-SC-1,United States,SC 24,White Sands LC-35,United States,US Army,United States,Grenades,United States,USASC,Suborbital,Aeronomy,20 May,Successful,1952,4,11
20,1952-05-20 16:06:00,V-2,Nazi Germany,V-2 No. 59 / TF-2,White Sands LC-33,United States,US Army,United States,,,SCEL / University of Michigan,Suborbital,Aeronomy / Photography,20 May,Successful,1952,4,12
24,1952-05-21 15:15:00,Aerobee RTV-A-1,United States,USAF 26,Holloman LC-A,United States,US Air Force,United States,Aeromed 3,United States,AFCRL / WADC Aero-Medical Laboratory,Suborbital,Biological,21 May,Successful,1952,4,13
0,1952-06-06 17:30:00,Viking (second model),United States,,White Sands LC-33,United States,US Navy,United States,Viking 8,United States,NRL,Suborbital,Accidental launch,6 June,Launch failure,1952,5,14
4,1952-06-18 17:50:00,Aerobee RTV-A-1,United States,USAF 27,Holloman LC-A,United States,US Air Force,United States,,,AFCRC / University of Denver,Suborbital,Solar UV,18 June,Successful,1952,5,15
